"","Subsurface SDL"
"","Avg"
"Date/Time","PAR"
"m/d/y","µmol/s/m²"
05/16/2011 6:00:00 PM,175
05/16/2011 8:00:00 PM,39
05/16/2011 10:00:00 PM,0
05/17/2011 12:00:00 AM,0
05/17/2011 2:00:00 AM,0
05/17/2011 4:00:00 AM,1
05/17/2011 6:00:00 AM,0
05/17/2011 8:00:00 AM,58
05/17/2011 10:00:00 AM,107
05/17/2011 12:00:00 PM,265
05/17/2011 2:00:00 PM,154
05/17/2011 4:00:00 PM,219
05/17/2011 6:00:00 PM,76
05/17/2011 8:00:00 PM,25
05/17/2011 10:00:00 PM,0
05/18/2011 12:00:00 AM,0
05/18/2011 2:00:00 AM,0
05/18/2011 4:00:00 AM,0
05/18/2011 6:00:00 AM,0
05/18/2011 8:00:00 AM,18
05/18/2011 10:00:00 AM,90
05/18/2011 12:00:00 PM,189
05/18/2011 2:00:00 PM,117
05/18/2011 4:00:00 PM,71
05/18/2011 6:00:00 PM,39
05/18/2011 8:00:00 PM,13
05/18/2011 10:00:00 PM,0
05/19/2011 12:00:00 AM,0
05/19/2011 2:00:00 AM,0
05/19/2011 4:00:00 AM,0
05/19/2011 6:00:00 AM,0
05/19/2011 8:00:00 AM,42
05/19/2011 10:00:00 AM,298
05/19/2011 12:00:00 PM,132
05/19/2011 2:00:00 PM,157
05/19/2011 4:00:00 PM,78
05/19/2011 6:00:00 PM,60
05/19/2011 8:00:00 PM,25
05/19/2011 10:00:00 PM,0
05/20/2011 12:00:00 AM,1
05/20/2011 2:00:00 AM,0
05/20/2011 4:00:00 AM,0
05/20/2011 6:00:00 AM,0
05/20/2011 8:00:00 AM,21
05/20/2011 10:00:00 AM,85
05/20/2011 12:00:00 PM,395
05/20/2011 4:00:00 PM,365
05/20/2011 6:00:00 PM,191
05/20/2011 8:00:00 PM,31
05/20/2011 10:00:00 PM,0
05/21/2011 12:00:00 AM,0
05/21/2011 2:00:00 AM,0
05/21/2011 4:00:00 AM,0
05/21/2011 6:00:00 AM,0
05/21/2011 8:00:00 AM,38
05/21/2011 10:00:00 AM,183
05/21/2011 12:00:00 PM,172
05/21/2011 2:00:00 PM,107
05/21/2011 4:00:00 PM,49
05/21/2011 6:00:00 PM,10
05/21/2011 8:00:00 PM,6
05/21/2011 10:00:00 PM,0
05/22/2011 12:00:00 AM,0
05/22/2011 2:00:00 AM,0
05/22/2011 4:00:00 AM,0
05/22/2011 6:00:00 AM,1
05/22/2011 8:00:00 AM,33
05/22/2011 10:00:00 AM,101
05/22/2011 12:00:00 PM,154
05/22/2011 2:00:00 PM,271
05/22/2011 4:00:00 PM,253
05/22/2011 6:00:00 PM,115
05/22/2011 8:00:00 PM,17
05/22/2011 10:00:00 PM,0
05/23/2011 12:00:00 AM,0
05/23/2011 2:00:00 AM,0
05/23/2011 4:00:00 AM,0
05/23/2011 6:00:00 AM,1
05/23/2011 8:00:00 AM,25
05/23/2011 10:00:00 AM,14
05/23/2011 12:00:00 PM,55
05/23/2011 2:00:00 PM,406
05/23/2011 4:00:00 PM,92
05/23/2011 6:00:00 PM,82
05/23/2011 8:00:00 PM,31
05/23/2011 10:00:00 PM,0
05/24/2011 12:00:00 AM,0
05/24/2011 2:00:00 AM,0
05/24/2011 4:00:00 AM,0
05/24/2011 6:00:00 AM,0
05/24/2011 8:00:00 AM,49
05/24/2011 10:00:00 AM,132
05/24/2011 12:00:00 PM,164
05/24/2011 2:00:00 PM,202
05/24/2011 4:00:00 PM,117
05/24/2011 6:00:00 PM,160
05/24/2011 8:00:00 PM,31
05/24/2011 10:00:00 PM,0
05/25/2011 12:00:00 AM,0
05/25/2011 2:00:00 AM,0
05/25/2011 4:00:00 AM,0
05/25/2011 6:00:00 AM,0
05/25/2011 8:00:00 AM,7
05/25/2011 10:00:00 AM,22
05/25/2011 12:00:00 PM,25
05/25/2011 2:00:00 PM,112
05/25/2011 4:00:00 PM,50
05/25/2011 6:00:00 PM,22
05/25/2011 8:00:00 PM,3
05/25/2011 10:00:00 PM,0
05/26/2011 12:00:00 AM,0
05/26/2011 2:00:00 AM,0
05/26/2011 4:00:00 AM,0
05/26/2011 6:00:00 AM,0
05/26/2011 8:00:00 AM,10
05/26/2011 10:00:00 AM,21
05/26/2011 12:00:00 PM,54
05/26/2011 2:00:00 PM,117
05/26/2011 4:00:00 PM,129
05/26/2011 6:00:00 PM,65
05/26/2011 8:00:00 PM,13
05/26/2011 10:00:00 PM,0
05/27/2011 12:00:00 AM,0
05/27/2011 2:00:00 AM,0
05/27/2011 4:00:00 AM,0
05/27/2011 6:00:00 AM,0
05/27/2011 8:00:00 AM,58
05/27/2011 10:00:00 AM,176
05/27/2011 12:00:00 PM,348
05/27/2011 2:00:00 PM,209
05/27/2011 4:00:00 PM,169
05/27/2011 5:00:00 PM,153
05/27/2011 6:00:00 PM,76
05/27/2011 7:00:00 PM,60
05/27/2011 8:00:00 PM,11
05/27/2011 9:00:00 PM,0
05/27/2011 10:00:00 PM,0
05/27/2011 11:00:00 PM,0
05/28/2011 12:00:00 AM,0
05/28/2011 1:00:00 AM,0
05/28/2011 2:00:00 AM,0
05/28/2011 3:00:00 AM,0
05/28/2011 4:00:00 AM,0
05/28/2011 5:00:00 AM,0
05/28/2011 6:00:00 AM,1
05/28/2011 7:00:00 AM,1
05/28/2011 8:00:00 AM,19
05/28/2011 9:00:00 AM,32
05/28/2011 10:00:00 AM,51
05/28/2011 11:00:00 AM,71
05/28/2011 12:00:00 PM,57
05/28/2011 1:00:00 PM,100
05/28/2011 2:00:00 PM,105
05/28/2011 3:00:00 PM,164
05/28/2011 4:00:00 PM,107
05/28/2011 5:00:00 PM,182
05/28/2011 6:00:00 PM,119
05/28/2011 7:00:00 PM,121
05/28/2011 8:00:00 PM,26
05/28/2011 9:00:00 PM,1
05/28/2011 10:00:00 PM,1
05/28/2011 11:00:00 PM,0
05/29/2011 12:00:00 AM,1
