Year,Date Time,Air Temp (F),Annual Rain Accumulation (in) (annual sum from Total Rain),TempDiff,Chlorophyll a (ug/L),Interval Rain (in),Max Wind Speed (knots),Phycocyanin (cells/mL),Rain Intensity (in/hr),Relative Barometric Pressure (inHg),Relative Humidity (%),Total Rain (in),Wind Direction (Degree),Wind Speed (knots),,MLO DO 2m,MLO DO 5m,MLO DO 8m,MLO DO 11m,,East Data DO 2m,East Data DO 8m,East Data DO 11m,,West Data DO 2m,West Data DO 8m,West Data DO 15m,,Deep Data DO 2m,Deep Data DO 8m,Deep Data DO 22m,,MLO Temp 1.7m,MLO Temp 2m,MLO Temp 4m,MLO Temp 5m,MLO Temp 6m,MLO Temp 8m,MLO Temp 10m,MLO Temp 11m,,East Data Temp 2m,East Data Temp 6m,East Data Temp 8m,East Data Temp 10m,East Data Temp 11m,,West Data Temp 2m,West Data Temp 6m,West Data Temp 8m,West Data Temp 10m,West Data Temp 15m,,Deep Data Temp 2m,Deep Data Temp 6m,Deep Data Temp 8m,Deep Data Temp 10m,Deep Data Temp 15m,Deep Data Temp 19m,Deep Data Temp 22m
2017,5/4/2017 12:00,52.7,4.436999,0.46,4.1,0,8.9,,0,30.09,61,1.330706,71,7,,10.01,10.15,9.9,9.6,,8.86,,8.114,,9.7,,8.642,,9.64,,7.767,,52.77,52.61,52.27,52.54,52.39,52.38,52.21,52.25,,52.376,52.7288,,,51.2672,,53.114,52.9916,,52.7288,52.6442,,53.294,52.9466,,52.0286,50.621,50.2232,50.0648
2017,5/4/2017 13:00,53.6,4.436999,-0.075,4.6,0,16.9,,0,30.07,57,1.330706,55,13.8,,10.17,10.21,9.93,9.71,,8.99,,8.204,,9.73,,8.572,,9.68,,7.763,,51.53,53.19,52.95,52.65,52.86,52.48,52.45,52.42,,52.412,52.6856,,,51.3824,,53.222,53.2526,,52.817,52.628,,53.51,52.9916,,51.8522,50.6642,50.2682,50.0486
2017,5/4/2017 14:00,54.68,4.436999,0.8775,4.7,0,15.7,,0,30.05,42,1.330706,58,13.2,,10.2,10.22,9.92,9.71,,9.15,,8.161,,9.75,,8.549,,9.69,,7.801,,53.22,53.31,52.95,52.84,52.65,52.48,52.32,52.455,,52.448,52.7288,,,51.4148,,53.312,53.384,,52.9466,52.6928,,53.402,53.0348,,52.3346,50.7524,50.2232,50.0324
2017,5/4/2017 15:00,55.22,4.436999,0.7475,4.7,0,13,,0,30.03,44,1.330706,68,11.7,,10.21,10.32,9.94,9.73,,9.28,,8.018,,9.77,,8.553,,9.71,,7.741,,53.35,53.35,53.08,53.19,52.86,52.59,52.56,52.645,,52.448,52.817,,,51.008,,53.402,53.4272,,52.9466,52.6118,,53.564,52.9034,,52.2914,50.7092,50.2232,50.0162
2017,5/4/2017 16:00,55.4,4.436999,0.5525,4.8,0,12.1,,0,30.01,47,1.330706,87,10.5,,10.25,10.38,10.03,9.75,,9.4,,7.943,,9.77,,8.533,,9.7,,7.62,,53.46,53.49,53.08,53.35,53.1,53.04,52.9,52.945,,52.466,52.817,,,50.828,,53.42,53.4722,,53.1662,52.6604,,53.474,52.9034,,52.2464,50.9288,50.2232,50.0324
2017,5/4/2017 17:00,54.5,4.436999,0.4475,4.6,0,6.2,,0,30.01,58,1.330706,108,5.4,,10.27,10.34,10.02,9.77,,9.11,,8.173,,9.76,,8.521,,9.68,,7.734,,53.56,53.65,53.31,53.4,53.2,53.17,53.13,53.185,,52.466,53.078,,,51.4148,,53.51,53.5154,,52.8602,52.6442,,53.474,52.9034,,52.0286,50.7524,50.3114,50
2017,5/4/2017 18:00,52.16,4.436999,0.9375,4.9,0,8.7,,0,30.02,64,1.330706,251,6.8,,10.22,10.33,10.03,9,,9.56,,7.592,,9.77,,8.506,,9.64,,7.635,,53.46,53.53,53.31,53.47,53.31,53.28,53.01,52.105,,52.466,53.2094,,,50.6966,,53.582,53.5586,,52.817,52.5956,,53.438,52.9466,,52.16,50.621,50.2232,50.0648
2017,5/4/2017 19:00,50.9,4.436999,1.785,4.6,0,4.5,,0,30.02,72,1.330706,253,4.1,,10.26,10.34,9.7,8.59,,9.67,,7.515,,9.81,,8.48,,9.68,,7.744,,53.56,53.67,53.42,53.49,53.31,53.04,52.56,51.1,,52.574,53.2526,,,50.6318,,53.636,53.5586,,52.817,52.628,,53.456,52.9034,,52.2032,50.5328,50.2232,50.081
2017,5/4/2017 20:00,53.24,4.436999,0.9675,4.7,0,6.4,,0,30.01,63,1.330706,71,5.4,,10.11,10.12,9.41,8.91,,9.65,,7.518,,9.82,,8.497,,9.68,,7.771,,53.35,53.46,53.19,53.38,53.1,52.93,52.66,52.215,,52.574,53.2094,,,50.729,,53.654,53.5586,,52.8602,52.5956,,53.42,52.9034,,52.2032,51.1934,50.2682,50.1314
2017,5/4/2017 21:00,52.88,4.436999,1.4875,4.6,0,10.3,,0,30.01,60,1.330706,91,7.8,,10.02,9.98,9.36,8.21,,9.22,,7.908,,9.84,,8.319,,9.7,,7.739,,53.35,53.42,53.19,53.29,52.97,52.83,52.77,51.025,,52.61,53.2976,,,51.17,,53.654,53.6018,,52.772,52.6118,,53.42,52.9466,,51.8522,51.2366,50.3114,50.1476
